mode,load,0_densenet201-4,1_inception_v3-16,2_squeezenet1_1-32
mps-uncap,0.8,3.8945674896240234,5.529046058654785,3.051280975341797
mps-uncap,0.9,19.675493240356445,14.260292053222656,7.058620452880859
mps-uncap,1.0,229.8734188079834,1179.6164512634277,23.898959159851074
mps-uncap,0.5,0.05173683166503906,0.04649162292480469,0.04363059997558594
mps-uncap,0.6,0.054001808166503906,0.0457763671875,0.04673004150390625
mps-uncap,0.7,0.0591278076171875,0.5240440368652344,1.051187515258789
mps-uncap,0.1,0.06413459777832031,0.06186962127685547,0.049591064453125
mps-uncap,0.2,0.06186962127685547,0.05841255187988281,0.04363059997558594
mps-uncap,0.3,0.06008148193359375,0.05555152893066406,0.041484832763671875
mps-uncap,0.4,0.06127357482910156,0.05412101745605469,0.0438690185546875
