mode,load,0_densenet201-4,1_inception_v3-16,2_squeezenet1_1-32
mps-uncap,0.8,114.3001746482627,905.748723976523,4933.023553648784
mps-uncap,0.9,135.2102449727582,1045.2262559136977,5525.280640150959
mps-uncap,1.0,142.50051456139934,1119.0575982431658,6224.976293628846
mps-uncap,0.5,72.64434501189957,599.4413479885504,2995.7485968649708
mps-uncap,0.6,87.7699864463002,669.7028213103432,3744.2422031166975
mps-uncap,0.7,98.35852002615445,796.8915794203018,4389.5782501471185
mps-uncap,0.1,14.215609720243096,120.90574178831604,599.378286784829
mps-uncap,0.2,29.660415533371697,227.67039826310128,1249.5268197001578
mps-uncap,0.3,41.9623563600513,340.66714084259564,1860.1359818419396
mps-uncap,0.4,59.263845815781075,469.37492210751793,2503.5015551496635
