mode,load,0_mobilenet_v3_small-32,1_resnet152-32,2_vgg11-16
mps-uncap,0.8,1351.506873421381,318.0385617903504,1500.9375633914697
mps-uncap,0.9,1512.9470883037322,342.7616936756516,1717.891603610804
mps-uncap,1.0,1720.9058866603248,385.350470038781,1911.5225878620688
mps-uncap,0.5,842.0978135016697,176.620930376629,948.7737309854589
mps-uncap,0.6,986.188376944528,239.58485647923024,1164.6943137561007
mps-uncap,0.7,1182.979866650367,283.66399243475774,1351.283363549727
mps-uncap,0.1,175.90871530321118,40.4165574997123,187.57443670271402
mps-uncap,0.2,321.6329011883484,90.87940214955914,373.3247977559114
mps-uncap,0.3,509.8047098608347,130.91846074655393,565.9989642582218
mps-uncap,0.4,694.860254666593,164.32702506236785,781.248951823452
