mode,load,0_mobilenet_v3_small-32,1_resnet152-32,2_vgg11-16
mps-uncap,0.8,2.7472972869873047,25.015592575073242,5.383729934692383
mps-uncap,0.9,2.7565956115722656,26.146650314331055,5.399227142333984
mps-uncap,1.0,2.7832984924316406,30.00664710998535,5.418300628662109
mps-uncap,0.5,2.7289390563964844,24.871349334716797,5.416393280029297
mps-uncap,0.6,2.7298927307128906,24.933576583862305,5.367755889892578
mps-uncap,0.7,2.7501583099365234,25.030136108398438,5.386590957641602
mps-uncap,0.1,2.7341842651367188,24.84726905822754,5.396366119384766
mps-uncap,0.2,2.7239322662353516,24.827003479003906,5.365848541259766
mps-uncap,0.3,2.7246475219726562,24.756669998168945,5.3844451904296875
mps-uncap,0.4,2.7227401733398438,24.8410701751709,5.3882598876953125
