mode,load,0_mobilenet_v3_large-8,1_mobilenet_v3_large-8
mig,0.1,2.7992725372314453,2.796649932861328
mig,0.2,2.7914047241210938,2.8297901153564453
mig,0.3,2.8069019317626953,2.801656723022461
mig,0.4,2.778291702270508,2.7594566345214844
mig,0.5,2.795696258544922,2.800464630126953
mig,0.6,2.786874771118164,2.7844905853271484
mig,0.7,2.7604103088378906,2.810955047607422
mig,0.8,2.773284912109375,2.782583236694336
mig,0.9,2.7620792388916016,2.7222633361816406
mig,1.0,2.8002262115478516,2.8166770935058594
