mode,load,0_mobilenet_v3_large-8,1_mobilenet_v3_large-8
mig,0.1,7.32574462890625,7.232117652893066
mig,0.2,7.3291778564453125,7.473325729370117
mig,0.3,6.343245506286621,6.447076797485352
mig,0.4,4.815554618835449,4.822206497192383
mig,0.5,4.416632652282714,4.422736167907716
mig,0.6,3.0524730682373047,3.0612945556640625
mig,0.7,2.9747486114501953,2.9952526092529297
mig,0.8,2.9425621032714844,2.9549598693847656
mig,0.9,2.903461456298828,2.889394760131836
mig,1.0,2.919912338256836,2.935647964477539
