mode,load,0_mobilenet_v3_large-8,1_mobilenet_v3_large-8
mig,0.1,7.738304138183592,7.683362960815426
mig,0.2,7.891492843627928,8.028759956359865
mig,0.3,7.688534259796142,7.754426002502439
mig,0.4,6.273016929626468,6.29734992980957
mig,0.5,5.191316604614258,5.145576000213622
mig,0.6,4.605445861816406,4.678277969360351
mig,0.7,3.7579870223999023,3.4212660789489755
mig,0.8,3.070967197418213,3.0852460861206055
mig,0.9,3.0286312103271484,3.0324459075927734
mig,1.0,3.0504870414733882,3.0304241180419913
