mode,load,0_mobilenet_v3_large-8,1_mobilenet_v3_large-8
mig,0.1,11.10279083251948,10.312435626983643
mig,0.2,15.095310211181635,15.59624195098878
mig,0.3,15.1204466819763,14.477877616882322
mig,0.4,13.92843008041385,13.5489845275879
mig,0.5,12.499706745147693,13.640589714050288
mig,0.6,13.002829551696777,13.065752983093256
mig,0.7,17.784745693206787,18.6832070350647
mig,0.8,23.932714462280263,23.979382514953603
mig,0.9,38.70337009429927,35.18791198730469
mig,1.0,345.7068943977348,355.0285053253174
