mode,load,0_mobilenet_v3_large-8,1_mobilenet_v3_large-8
mig,0.1,6.823062896728516,6.740570068359375
mig,0.2,6.360769271850586,6.464481353759766
mig,0.3,4.644989967346191,4.652500152587891
mig,0.4,3.0722618103027344,3.4296512603759766
mig,0.5,2.8913021087646484,2.8786659240722656
mig,0.6,2.8824806213378906,2.877473831176758
mig,0.7,2.848386764526367,2.8722286224365234
mig,0.8,2.8371810913085938,2.8340816497802734
mig,0.9,2.806425094604492,2.7768611907958984
mig,1.0,2.856731414794922,2.8634071350097656
