mode,load,0_mobilenet_v3_large-8,1_mobilenet_v3_large-8
mig,0.1,271.95643470035276,275.1044344068923
mig,0.2,558.9691857947113,543.9781947129885
mig,0.3,830.7738657384483,829.9831487432721
mig,0.4,1089.52827260293,1092.5323055240538
mig,0.5,1373.5875822066735,1365.5085140186445
mig,0.6,1642.0184203310753,1645.2225506848913
mig,0.7,1929.1190156561884,1965.079925767431
mig,0.8,2202.134369633541,2216.448095471661
mig,0.9,2477.6934752078246,2471.644139082576
mig,1.0,2767.6626536635554,2727.14788806849
