mode,load,0_resnet101-16,1_densenet161-4,2_efficientnet_b5-4
mps-uncap,1.0,17.990031242370605,23.84082317352295,22.98440456390381
mig,1.0,23.292522430419922,19.09078359603882,16.464805603027347
