mode,load,0_resnet50-8,1_resnet50-8,2_resnet50-8,3_resnet50-8
mig,0.1,36.29708290100098,30.376195907592773,26.058435440063477,70.16158103942871
mig,0.2,47.298431396484375,41.2144660949707,37.71543502807617,86.75432205200195
mig,0.3,58.858394622802734,64.72420692443848,66.68567657470703,94.94137763977051
mig,0.4,57.437896728515625,77.58116722106934,125.0910758972168,141.91317558288574
mig,0.5,94.24901008605957,82.24916458129883,91.45617485046387,175.1542091369629
mig,0.6,138.6582851409912,105.40199279785156,92.40174293518066,249.04775619506836
mig,0.7,241.35971069335938,245.61452865600586,163.2552146911621,369.952917098999
mig,0.8,257.33447074890137,360.17489433288574,294.39592361450195,673.3884811401367
mig,0.9,650.9556770324707,1668.0972576141357,2115.6461238861084,1085.456132888794
mig,1.0,6589.816093444824,6848.079442977905,6989.833116531372,4964.4269943237305
