mode,load,0_resnet50-8,1_resnet50-8,2_resnet50-8,3_resnet50-8
mig,0.1,12.387752532958984,12.45260238647461,12.489795684814453,24.834632873535156
mig,0.2,12.38107681274414,12.466669082641602,12.472152709960938,24.787425994873047
mig,0.3,12.382268905639648,12.411355972290039,12.397527694702148,24.822235107421875
mig,0.4,12.318611145019531,12.413263320922852,12.421131134033203,24.804353713989258
mig,0.5,12.315988540649414,12.417793273925781,12.400627136230469,24.7955322265625
mig,0.6,12.37630844116211,12.438297271728516,12.458324432373047,24.814367294311523
mig,0.7,12.354373931884766,12.39776611328125,12.452125549316406,24.832725524902344
mig,0.8,12.401819229125977,12.488126754760742,12.46786117553711,24.84607696533203
mig,0.9,12.423992156982422,12.511968612670898,12.503385543823242,24.890422821044922
mig,1.0,12.41922378540039,12.545347213745117,12.501001358032227,25.01654624938965
