mode,load,0_resnet50-8,1_resnet50-8,2_resnet50-8,3_resnet50-8
mig,0.1,12.950658798217773,13.064861297607422,13.022184371948242,25.37989616394043
mig,0.2,13.04173469543457,13.110995292663574,13.11802864074707,25.506019592285156
mig,0.3,13.029813766479492,13.092041015625,13.086318969726562,25.50029754638672
mig,0.4,12.636423110961914,12.76397705078125,12.756586074829102,25.28977394104004
mig,0.5,12.53819465637207,12.653589248657227,12.641429901123047,25.074005126953125
mig,0.6,12.553095817565918,12.633562088012695,12.638330459594727,25.060176849365234
mig,0.7,12.588739395141602,12.66169548034668,12.666106224060059,25.098085403442383
mig,0.8,12.645721435546875,12.732505798339844,12.727499008178711,25.196313858032227
mig,0.9,12.766838073730469,12.857913970947266,12.855291366577148,25.360584259033203
mig,1.0,12.780189514160156,12.864351272583008,12.881994247436523,25.362253189086914
