mode,load,0_resnet101-4,1_resnet152-2,2_resnet50-8
mps-uncap,0.8,74.07927513122559,89.40458297729492,56.33878707885742
mps-uncap,0.9,123.80599975585938,128.03268432617188,104.89773750305176
mps-uncap,1.0,372.2269535064697,543.2512760162354,397.5858688354492
mps-uncap,0.5,29.626846313476562,37.723541259765625,18.680572509765625
mps-uncap,0.6,32.21416473388672,39.37363624572754,28.949499130249023
mps-uncap,0.7,63.86899948120117,53.07316780090332,38.88964653015137
mps-uncap,0.1,22.110700607299805,26.08036994934082,10.666131973266602
mps-uncap,0.2,25.434017181396484,34.39664840698242,16.0825252532959
mps-uncap,0.3,27.50110626220703,37.10675239562988,20.734310150146484
mps-uncap,0.4,37.19830513000488,35.99977493286133,22.519350051879883
