mode,load,0_alexnet-2,1_resnet101-4,2_vgg13-16
mps-uncap,0.8,0.5605220794677734,5.043983459472656,7.784128189086914
mps-uncap,0.9,0.5629062652587891,5.151033401489258,7.815837860107422
mps-uncap,1.0,0.5633831024169922,5.096435546875,7.7877044677734375
mps-uncap,0.5,0.5548000335693359,5.13458251953125,7.724523544311523
mps-uncap,0.6,0.5552768707275391,5.02777099609375,7.785558700561523
mps-uncap,0.7,0.5524158477783203,5.024194717407227,7.737874984741211
mps-uncap,0.1,0.5600452423095703,5.019187927246094,7.739782333374023
mps-uncap,0.2,0.5581378936767578,5.106687545776367,7.768154144287109
mps-uncap,0.3,0.5588531494140625,4.988193511962891,7.70878791809082
mps-uncap,0.4,0.5571842193603516,5.143404006958008,7.727384567260742
