mode,load,0_alexnet-2,1_resnet101-4,2_vgg13-16
mps-uncap,0.8,35.82882881164551,205.42550086975098,134.3369483947754
mps-uncap,0.9,50.495147705078125,315.9787654876709,237.5967502593994
mps-uncap,1.0,329.1153907775879,1205.2090167999268,378.89552116394043
mps-uncap,0.5,14.307975769042969,66.5581226348877,48.830509185791016
mps-uncap,0.6,21.864652633666992,72.71361351013184,77.1787166595459
mps-uncap,0.7,21.575212478637695,130.1596164703369,115.77200889587402
mps-uncap,0.1,6.538629531860352,20.778656005859375,19.346952438354492
mps-uncap,0.2,10.309696197509766,36.93127632141113,23.297548294067383
mps-uncap,0.3,7.19761848449707,41.06879234313965,32.533884048461914
mps-uncap,0.4,11.603593826293945,39.39223289489746,34.68155860900879
