mode,load,0_mobilenet_v3_large-4,1_resnet101-32,2_vgg13-32
mps-uncap,0.8,236.12260818481445,432.42812156677246,241.5459156036377
mps-uncap,0.9,199.17798042297363,446.378231048584,293.96653175354004
mps-uncap,1.0,1037.7743244171143,1338.7341499328613,1855.9844493865967
mps-uncap,0.5,64.02969360351562,127.62761116027832,78.44352722167969
mps-uncap,0.6,85.16764640808105,144.8981761932373,104.76565361022949
mps-uncap,0.7,89.01548385620117,268.34678649902344,126.18279457092285
mps-uncap,0.1,22.558212280273438,44.82698440551758,30.976533889770508
mps-uncap,0.2,28.035879135131836,68.70675086975098,41.89729690551758
mps-uncap,0.3,32.442569732666016,68.14694404602051,57.36255645751953
mps-uncap,0.4,76.01118087768555,84.84435081481934,62.22033500671387
