mode,load,0_vgg16-32,1_alexnet-32,2_efficientnet_b6-32
mps-uncap,1.0,24.84869956970215,3.0405521392822266,162.4925136566162
mig,1.0,42.56629943847656,6.204843521118164,135.6198787689209
