mode,load,0_alexnet-8,1_efficientnet_b6-8,2_mobilenet_v3_large-8
mps-uncap,0.8,1.4188289642333984,18.56863498687744,4.299402236938477
mps-uncap,0.9,1.5387535095214844,20.241260528564453,4.909515380859375
mps-uncap,1.0,1.6639232635498047,22.8574275970459,4.82630729675293
mps-uncap,0.5,1.2819766998291016,15.709400177001953,4.779338836669922
mps-uncap,0.6,1.302480697631836,16.251564025878906,4.649877548217773
mps-uncap,0.7,1.3284683227539062,17.364025115966797,4.292488098144531
mps-uncap,0.1,1.375436782836914,24.353981018066406,6.740570068359375
mps-uncap,0.2,1.2445449829101562,18.674135208129883,6.690263748168945
mps-uncap,0.3,1.2756586074829102,17.21668243408203,6.493330001831055
mps-uncap,0.4,1.2826919555664062,16.115903854370117,5.448102951049805
