mode,load,0_alexnet-8,1_efficientnet_b6-8,2_mobilenet_v3_large-8
mps-uncap,0.8,3535.940363323251,280.6401982261611,1125.8802073789782
mps-uncap,0.9,3935.60684620163,331.34300277941,1245.8351811158984
mps-uncap,1.0,4455.841143508175,353.81799153737484,1376.7690145205327
mps-uncap,0.5,2130.238987146632,186.20987401617006,694.0560030516671
mps-uncap,0.6,2618.759307293987,213.2422117789402,820.0791302788064
mps-uncap,0.7,3055.8652298345537,243.42242020399402,939.437774688488
mps-uncap,0.1,448.0820099306535,35.04864114353698,143.942292485969
mps-uncap,0.2,876.9709547811376,69.01461090300668,271.3122486795225
mps-uncap,0.3,1329.1816830728283,110.99642412842039,419.93657520585043
mps-uncap,0.4,1756.469313672606,136.08302284962102,560.8421111490052
