mode,load,0_alexnet-8,1_efficientnet_b6-8,2_mobilenet_v3_large-8
mps-uncap,0.8,1.8835067749023438,21.9998836517334,5.985593795776368
mps-uncap,0.9,1.9702911376953125,23.15516471862793,6.4318180084228525
mps-uncap,1.0,2.1042823791503906,23.699665069580078,6.401801109313965
mps-uncap,0.5,1.7170906066894531,18.584775924682617,6.840419769287109
mps-uncap,0.6,1.7998218536376953,19.26445960998535,6.2549591064453125
mps-uncap,0.7,1.837015151977539,20.489835739135742,5.855894088745117
mps-uncap,0.1,1.523447036743164,27.629756927490234,7.4062347412109375
mps-uncap,0.2,1.437830924987793,27.066874504089355,7.232236862182617
mps-uncap,0.3,1.5372991561889648,20.364904403686523,7.263422012329102
mps-uncap,0.4,1.6148090362548828,19.171810150146484,7.103443145751953
