mode,load,0_alexnet-8,1_efficientnet_b6-8,2_mobilenet_v3_large-8
mps-uncap,0.8,2.790689468383789,24.39141273498535,7.850170135498047
mps-uncap,0.9,2.851247787475586,25.863170623779297,7.8601837158203125
mps-uncap,1.0,3.1430721282958984,24.761438369750977,7.468700408935547
mps-uncap,0.5,4.1961669921875,23.968219757080078,8.65626335144043
mps-uncap,0.6,2.8378963470458984,23.62990379333496,7.961034774780273
mps-uncap,0.7,3.104686737060547,23.6508846282959,8.11004638671875
mps-uncap,0.1,2.1309852600097656,29.849767684936523,8.302688598632812
mps-uncap,0.2,2.707958221435547,29.352426528930664,8.829593658447266
mps-uncap,0.3,2.663850784301758,27.220487594604492,8.592605590820312
mps-uncap,0.4,2.722501754760742,26.157855987548828,8.674860000610352
