mode,load,0_alexnet-8,1_efficientnet_b6-8,2_mobilenet_v3_large-8
mps-uncap,0.8,9.81255769729614,114.52267885208133,32.40339279174805
mps-uncap,0.9,17.720513343811042,278.2269620895386,67.1949052810669
mps-uncap,1.0,72.25309133529665,2130.7170438766475,82.2115802764893
mps-uncap,0.5,5.129456520080566,50.305719375610366,20.098781585693388
mps-uncap,0.6,5.911650657653808,70.8642959594726,19.056119918823228
mps-uncap,0.7,7.613770961761478,72.60744571685791,21.281251907348636
mps-uncap,0.1,2.397599220275877,47.596855163574276,12.90087699890136
mps-uncap,0.2,2.6483678817749015,43.30549478530879,16.143374443054174
mps-uncap,0.3,3.563282489776614,44.542429447174065,19.42093372344974
mps-uncap,0.4,4.08965587615967,43.31731796264652,20.51997184753418
