mode,load,0_alexnet-8,1_efficientnet_b6-8,2_mobilenet_v3_large-8
mps-uncap,0.8,2.043485641479492,28.70798110961914,6.354808807373047
mps-uncap,0.9,3.203749656677246,54.93736267089844,9.758472442626953
mps-uncap,1.0,17.331600189208984,824.4707584381104,16.678333282470703
mps-uncap,0.5,1.443624496459961,17.62557029724121,5.843877792358398
mps-uncap,0.6,1.5726089477539062,18.921613693237305,5.750894546508789
mps-uncap,0.7,1.7628669738769531,20.716428756713867,5.502223968505859
mps-uncap,0.1,1.4395713806152344,25.120019912719727,6.898403167724609
mps-uncap,0.2,1.3227462768554688,19.618511199951172,6.906747817993164
mps-uncap,0.3,1.354217529296875,18.25582981109619,6.846427917480469
mps-uncap,0.4,1.405954360961914,18.062353134155273,6.786108016967773
