mode,load,0_squeezenet1_1-2,1_vgg11-8,2_vgg19-32
mps-uncap,0.8,98.73483695387381,475.2056438111126,927.2629797015096
mps-uncap,0.9,114.08933279188852,542.1855587050925,1044.9824074422315
mps-uncap,1.0,124.41291324281536,589.2310321413281,1184.0280963443815
mps-uncap,0.5,61.73528194720974,310.980636755298,583.7808503431463
mps-uncap,0.6,73.35857079672422,350.04571437903627,684.1451368177574
mps-uncap,0.7,87.72899586717767,441.68778178351283,807.5843884594182
mps-uncap,0.1,12.738088212415791,64.16238077860494,131.66082970304996
mps-uncap,0.2,24.14120647003523,124.51965596328134,234.94395637853572
mps-uncap,0.3,36.139673701997765,177.4267949885328,357.2086253509697
mps-uncap,0.4,48.15562522717797,244.0866458853863,494.85597863890774
