mode,load,0_densenet201-4,1_efficientnet_b5-2,2_inception_v3-4
mps-uncap,0.8,14617.746782302856,12510.84257364273,13335.115480422974
mps-uncap,0.9,18838.958203792572,17796.85730934143,19457.100217342377
mps-uncap,1.0,25368.071095943455,21273.0073261261,22392.810406684872
mps-uncap,0.5,197.88390636444092,132.25366115570074,90.14670372009277
mps-uncap,0.6,998.509931564331,340.85414648056064,455.52258491516113
mps-uncap,0.7,5176.711893081665,4709.310111999513,6880.90616941452
mps-uncap,0.1,49.208388328552225,44.996843338012724,32.6031804084777
mps-uncap,0.2,59.140911102294886,46.55377864837647,29.701161384582534
mps-uncap,0.3,112.37502813339232,67.49039888381958,35.42855501174925
mps-uncap,0.4,104.66349124908447,85.5918502807617,54.920606613159144
