mode,load,0_densenet201-4,1_efficientnet_b5-2,2_inception_v3-4
mps-uncap,0.8,7732.222676277161,6549.082398414612,6382.5507164001465
mps-uncap,0.9,9462.343454360962,8895.47848701477,10022.772192955017
mps-uncap,1.0,12568.16816329956,10791.366815567017,11521.848678588867
mps-uncap,0.5,31.254172325134277,19.01721954345703,12.117981910705566
mps-uncap,0.6,370.3420162200928,62.32583522796631,71.19584083557129
mps-uncap,0.7,3503.8098096847534,1907.9737663269043,4170.436263084412
mps-uncap,0.1,0.030755996704101562,0.029325485229492188,0.02872943878173828
mps-uncap,0.2,0.027418136596679688,0.025987625122070312,0.0247955322265625
mps-uncap,0.3,1.1268854141235352,1.7529726028442383,0.0286102294921875
mps-uncap,0.4,9.57345962524414,6.388425827026367,4.61423397064209
