mode,load,0_densenet201-4,1_efficientnet_b5-2,2_inception_v3-4
mps-uncap,0.8,14597.119379043577,12495.58289527893,13326.301107406616
mps-uncap,0.9,18817.736387252808,17781.29961013794,19448.3424949646
mps-uncap,1.0,25347.01430797577,21258.09313774109,22384.087414741516
mps-uncap,0.5,177.24748611450198,117.21714019775395,81.48279428482054
mps-uncap,0.6,978.136670589447,325.485706329346,446.67878150939936
mps-uncap,0.7,5155.904114246368,4694.378643035889,6871.981227397919
mps-uncap,0.1,27.982797622680636,29.260020256042516,21.80098056793198
mps-uncap,0.2,37.62368202209472,31.542944908142093,20.44641971588135
mps-uncap,0.3,91.82321786880492,52.29669809341431,26.78272008895874
mps-uncap,0.4,84.47774410247803,70.73996543884277,46.00512981414793
