mode,load,0_densenet201-4,1_efficientnet_b5-2,2_inception_v3-4
mps-uncap,0.8,190.27170460634952,129.72995181390831,447.49243584499186
mps-uncap,0.9,190.53319564368635,129.74534600080295,454.61671470474334
mps-uncap,1.0,181.38360076881253,131.43307944463348,452.06086632671327
mps-uncap,0.5,157.461658714091,104.23203470977371,360.7089693664303
mps-uncap,0.6,191.4354987288207,120.67911551279828,440.4676530570363
mps-uncap,0.7,190.57643450313617,131.6756284242973,451.5063782341522
mps-uncap,0.1,31.466729145387337,20.75109200921667,73.47271410819425
mps-uncap,0.2,58.11818178274039,42.520150897667186,145.08812156953465
mps-uncap,0.3,94.32270905737185,63.387836329954396,215.3198486664182
mps-uncap,0.4,119.89830779853904,80.4287831053587,283.78441799689955
