mode,load,0_densenet201-4,1_efficientnet_b5-2,2_inception_v3-4
mps-uncap,0.8,0.015497207641601562,0.014066696166992188,0.015020370483398438
mps-uncap,0.9,0.023365020751953125,0.014066696166992188,0.013828277587890625
mps-uncap,1.0,0.02765655517578125,0.01430511474609375,0.012159347534179688
mps-uncap,0.5,0.013113021850585938,0.012159347534179688,0.011682510375976562
mps-uncap,0.6,0.012636184692382812,0.01049041748046875,0.011682510375976562
mps-uncap,0.7,0.012159347534179688,0.012159347534179688,0.0152587890625
mps-uncap,0.1,0.01239776611328125,0.012159347534179688,0.012636184692382812
mps-uncap,0.2,0.010251998901367188,0.010251998901367188,0.011682510375976562
mps-uncap,0.3,0.010251998901367188,0.010013580322265625,0.009775161743164062
mps-uncap,0.4,0.01239776611328125,0.009775161743164062,0.010251998901367188
