mode,load,0_densenet201-4,1_efficientnet_b5-2,2_inception_v3-4
mps-uncap,0.8,13099.611759185791,11427.097177505493,12019.378471374512
mps-uncap,0.9,17460.50012111664,16251.969838142393,17534.711790084843
mps-uncap,1.0,22810.831928253174,18997.709894180298,20500.617933273315
mps-uncap,0.5,110.19794940948485,65.6597137451172,42.959260940551815
mps-uncap,0.6,781.8829298019409,190.40608406066895,232.36680030822754
mps-uncap,0.7,4952.3738622665405,4548.836135864258,6473.047590255737
mps-uncap,0.1,12.93630599975587,11.599826812744146,8.780980110168457
mps-uncap,0.2,18.74361038208008,13.877630233764648,9.55343246459961
mps-uncap,0.3,34.77733135223391,25.588393211364746,12.027668952941896
mps-uncap,0.4,41.94407463073731,31.71715736389161,21.539616584777832
