mode,load,0_inception_v3-16,1_efficientnet_b7-8,2_resnet101-8
mps-uncap,0.6,73.35591316223145,87.5086784362793,50.754547119140625
mig,0.6,104.00700569152832,346.3280200958252,126.54948234558105
mps-uncap,0.7,108.50167274475098,135.90025901794434,71.18701934814453
mig,0.7,146.0895538330078,419.527530670166,144.7439193725586
mps-uncap,0.8,162.63675689697266,144.8516845703125,141.40772819519043
mig,0.8,147.46451377868652,701.4858722686768,229.99119758605957
mps-uncap,0.9,361.52100563049316,198.2860565185547,118.38531494140625
mig,0.9,279.74915504455566,1330.8765888214111,453.08446884155273
mps-uncap,1.0,3499.825954437256,196.2871551513672,179.55970764160156
mig,1.0,2119.314432144165,3711.446523666382,2136.188507080078
mps-uncap,1.1,17584.84387397766,592.8072929382324,343.92476081848145
mig,1.1,8975.368738174438,9759.64641571045,9128.32260131836
mps-uncap,1.2,30838.90986442566,319.21911239624023,729.9838066101074
mig,1.2,14327.578067779541,17025.57349205017,14397.337198257446
mps-uncap,1.3,39279.998779296875,491.1830425262451,4412.025213241577
mig,1.3,21403.74779701233,22064.512252807617,20966.248989105225
