mode,load,0_inception_v3-16,1_efficientnet_b7-8,2_resnet101-8
mps-uncap,0.6,14.32657241821289,27.42314338684082,12.724876403808594
mig,0.6,17.943978309631348,65.35744667053223,26.660442352294922
mps-uncap,0.7,16.482114791870117,29.836654663085938,15.356302261352539
mig,0.7,21.488428115844727,88.9892578125,32.70912170410156
mps-uncap,0.8,24.181127548217773,32.9357385635376,17.130613327026367
mig,0.8,25.465726852416992,110.28480529785156,47.48106002807617
mps-uncap,0.9,43.839216232299805,34.67226028442383,19.680500030517578
mig,0.9,61.496615409851074,313.5101795196533,84.36286449432373
mps-uncap,1.0,2208.632230758667,43.83230209350586,27.077555656433105
mig,1.0,1046.9231605529785,1926.8085956573486,1124.5824098587036
mps-uncap,1.1,9958.669424057007,66.97237491607666,52.67047882080078
mig,1.1,3965.959072113037,5184.056758880615,5357.586622238159
mps-uncap,1.2,15542.77515411377,51.88393592834473,147.3371982574463
mig,1.2,7802.234888076782,7053.32887172699,6347.197651863098
mps-uncap,1.3,18599.926590919495,75.73866844177246,1304.032802581787
mig,1.3,9355.198860168457,10983.508110046387,10929.2733669281
