mode,load,0_inception_v3-16,1_efficientnet_b7-8,2_resnet101-8
mps-uncap,0.6,30.469179153442383,48.285436630249066,22.885036468505856
mig,0.6,41.65766239166258,145.0446605682373,61.71917915344238
mps-uncap,0.7,38.74835968017579,55.045366287231445,31.576108932495128
mig,0.7,48.32813739776611,227.74362564086914,74.43838119506835
mps-uncap,0.8,65.22607803344727,65.1782751083374,40.196895599365234
mig,0.8,64.1179084777832,308.977222442627,116.73898696899415
mps-uncap,0.9,137.76798248291016,80.62381744384764,51.98013782501221
mig,0.9,174.10132884979248,788.358211517334,208.98938179016113
mps-uncap,1.0,3156.7392349243164,99.37489032745361,75.14333724975586
mig,1.0,1897.2563028335571,3230.0633907318115,1788.772654533386
mps-uncap,1.1,15647.760200500488,185.97900867462158,159.61861610412598
mig,1.1,7807.311201095583,9225.388860702515,8196.73924446106
mps-uncap,1.2,27838.327503204346,119.6876049041748,437.6470565795898
mig,1.2,13224.832773208622,15558.470368385315,12830.908155441284
mps-uncap,1.3,34784.64770317078,215.86346626281738,3451.950979232789
mig,1.3,18930.789184570316,19696.447372436523,19169.628381729122
