mode,load,0_inception_v3-16,1_efficientnet_b7-8,2_resnet101-8
mps-uncap,0.6,18.70274543762207,22.05014228820801,10.809612274169922
mig,0.6,29.46610450744628,96.8303680419922,42.4191951751709
mps-uncap,0.7,26.99470520019533,27.749061584472656,17.55237579345706
mig,0.7,36.15434169769287,179.8325777053833,55.14111518859863
mps-uncap,0.8,53.19666862487793,37.10627555847168,25.568008422851562
mig,0.8,51.622629165649414,260.3055477142334,97.1338272094727
mps-uncap,0.9,125.07319450378421,50.895929336547844,37.13798522949219
mig,0.9,161.6776943206787,739.6540641784668,189.41688537597656
mps-uncap,1.0,3144.6762084960938,66.52843952178955,59.2195987701416
mig,1.0,1885.5483531951904,3181.1224460601807,1769.3851470947263
mps-uncap,1.1,15635.963439941406,153.89835834503174,143.09358596801758
mig,1.1,7795.39477825165,9176.683783531189,8177.5413036346445
mps-uncap,1.2,27826.814818382263,88.66567611694336,422.1963882446288
mig,1.2,13212.984752655033,15509.796261787415,12811.63890361786
mps-uncap,1.3,34767.72217750549,185.5604648590088,3436.5359783172617
mig,1.3,18919.091939926147,19647.591590881348,19150.09932518005
