mode,load,0_inception_v3-16,1_efficientnet_b7-8,2_resnet101-8
mps-uncap,0.6,47.08309173583987,52.31779098510749,26.54090881347656
mig,0.6,63.34181785583497,205.50065994262687,86.89301013946533
mps-uncap,0.7,59.831376075744586,63.82360458374009,48.279504776000884
mig,0.7,75.98473548889152,323.7382650375373,107.19279766082767
mps-uncap,0.8,109.54418182373053,87.90653944015503,73.40680360794101
mig,0.8,98.7313985824585,585.6297397613516,182.2190475463865
mps-uncap,0.9,245.03310203552252,109.61173534393315,76.06580257415781
mig,0.9,232.89816141128532,1059.6182346343987,360.73292493820213
mps-uncap,1.0,3312.6998805999756,135.77532768249512,128.19151878356908
mig,1.0,2042.821705341339,3561.765303611755,1996.4739060401912
mps-uncap,1.1,17389.318523406986,418.5691475868224,266.36734008789057
mig,1.1,8722.625856399536,9614.230697154999,9017.833423614502
mps-uncap,1.2,30434.758982658383,194.7478675842284,630.1902866363523
mig,1.2,14139.4859790802,16677.569711208347,14225.872573852539
mps-uncap,1.3,39052.486946582794,363.2797956466673,4356.29997730255
mig,1.3,21106.988973617554,21880.985975265503,20873.078780174255
