mode,load,0_inception_v3-16,1_efficientnet_b7-8,2_resnet101-8
mps-uncap,0.6,9.993553161621094,25.1004695892334,10.960102081298828
mig,0.6,12.525081634521484,48.67410659790039,19.489765167236328
mps-uncap,0.7,10.384082794189453,26.37505531311035,11.159539222717285
mig,0.7,12.177586555480957,48.711538314819336,19.463300704956055
mps-uncap,0.8,10.73145866394043,28.05912494659424,11.677861213684082
mig,0.8,11.716604232788086,48.573970794677734,19.13166046142578
mps-uncap,0.9,11.189937591552734,30.636072158813477,12.642979621887207
mig,0.9,11.760354042053223,48.712968826293945,19.1195011138916
mps-uncap,1.0,12.348413467407227,32.90414810180664,15.33210277557373
mig,1.0,11.790990829467773,48.70486259460449,19.19734477996826
mps-uncap,1.1,14.208078384399414,33.637166023254395,16.162633895874023
mig,1.1,11.796355247497559,48.66981506347656,19.17123794555664
mps-uncap,1.2,15.827059745788574,30.430078506469727,16.007184982299805
mig,1.2,11.788368225097656,48.63858222961426,19.19114589691162
mps-uncap,1.3,16.294240951538086,30.653715133666992,16.42465591430664
mig,1.3,11.784553527832031,48.641204833984375,19.165515899658203
