mode,load,0_inception_v3-16,1_efficientnet_b7-8,2_resnet101-8
mps-uncap,0.6,1.7490386962890625,0.030517578125,0.028371810913085938
mig,0.6,5.671977996826172,16.840696334838867,7.297039031982422
mps-uncap,0.7,5.586862564086914,0.02956390380859375,0.030517578125
mig,0.7,9.24694538116455,40.14086723327637,13.199567794799805
mps-uncap,0.8,12.659311294555664,0.030755996704101562,2.27200984954834
mig,0.8,13.350248336791992,61.61856651306152,27.88233757019043
mps-uncap,0.9,32.17482566833496,2.058267593383789,6.868720054626465
mig,0.9,49.40807819366455,264.5998001098633,64.93020057678223
mps-uncap,1.0,2196.2413787841797,12.376904487609863,12.57312297821045
mig,1.0,1034.9575281143188,1878.2553672790527,1105.121374130249
mps-uncap,1.1,9949.896574020386,33.67495536804199,37.409305572509766
mig,1.1,3953.311800956726,5134.841680526733,5337.90397644043
mps-uncap,1.2,15528.695702552795,21.800756454467773,131.850004196167
mig,1.2,7789.442539215088,7003.652095794678,6327.4911642074585
mps-uncap,1.3,18586.988925933838,45.066118240356445,1290.2979850769043
mig,1.3,9342.161655426025,10934.175252914429,10909.31224822998
