mode,load,0_inception_v3-16,1_efficientnet_b7-8,2_resnet101-8
mps-uncap,0.6,0.011682510375976562,0.014781951904296875,0.012159347534179688
mig,0.6,0.013828277587890625,0.01430511474609375,0.012159347534179688
mps-uncap,0.7,0.013828277587890625,0.014066696166992188,0.014066696166992188
mig,0.7,0.013589859008789062,0.014543533325195312,0.013589859008789062
mps-uncap,0.8,0.0133514404296875,0.014066696166992188,0.013828277587890625
mig,0.8,0.012159347534179688,0.014543533325195312,0.014066696166992188
mps-uncap,0.9,0.014066696166992188,0.014781951904296875,0.013589859008789062
mig,0.9,0.013828277587890625,0.015974044799804688,0.01430511474609375
mps-uncap,1.0,0.015974044799804688,0.014543533325195312,0.013828277587890625
mig,1.0,0.015020370483398438,0.018596649169921875,0.0171661376953125
mps-uncap,1.1,0.03790855407714844,0.014781951904296875,0.013828277587890625
mig,1.1,0.015497207641601562,0.015497207641601562,0.014066696166992188
mps-uncap,1.2,0.019311904907226562,0.0133514404296875,0.01430511474609375
mig,1.2,0.019311904907226562,0.024080276489257812,0.0171661376953125
mps-uncap,1.3,0.015974044799804688,0.0152587890625,0.014066696166992188
mig,1.3,0.01811981201171875,0.024318695068359375,0.018835067749023438
