mode,load,0_inception_v3-16,1_efficientnet_b7-8,2_resnet101-8
mps-uncap,0.6,8.643150329589844,20.826339721679688,8.945465087890625
mig,0.6,11.285543441772461,47.783613204956055,18.7528133392334
mps-uncap,0.7,8.509635925292969,21.25716209411621,9.129524230957031
mig,0.7,11.270999908447266,47.77050018310547,18.712282180786133
mps-uncap,0.8,8.444786071777344,21.06785774230957,8.950471878051758
mig,0.8,11.262893676757812,47.77121543884277,18.72706413269043
mps-uncap,0.9,8.44120979309082,21.329402923583984,8.983850479125977
mig,0.9,11.278390884399414,47.814130783081055,18.703460693359375
mps-uncap,1.0,8.602142333984375,21.74687385559082,9.055137634277344
mig,1.0,11.350154876708984,47.887325286865234,18.811464309692383
mps-uncap,1.1,8.549690246582031,22.233247756958008,9.297370910644531
mig,1.1,11.365413665771484,47.893524169921875,18.810033798217773
mps-uncap,1.2,8.66842269897461,22.797584533691406,9.311437606811523
mig,1.2,11.46078109741211,47.9130744934082,18.9054012298584
mps-uncap,1.3,8.606672286987305,22.84073829650879,9.217023849487305
mig,1.3,11.444568634033203,47.98460006713867,18.850088119506836
