mode,load,0_inception_v3-16,1_efficientnet_b7-8,2_resnet101-8
mps-uncap,0.6,88.73438835144043,108.88099670410156,62.29710578918457
mig,0.6,116.54829978942871,395.63989639282227,146.90542221069336
mps-uncap,0.7,117.11525917053223,166.24975204467773,84.67221260070801
mig,0.7,158.02788734436035,468.4560298919678,163.8014316558838
mps-uncap,0.8,173.21133613586426,178.391695022583,157.59921073913574
mig,0.8,159.0442657470703,750.6742477416992,249.19772148132324
mps-uncap,0.9,373.4259605407715,228.57952117919922,129.57406044006348
mig,0.9,293.363094329834,1379.929780960083,472.2936153411865
mps-uncap,1.0,3509.3274116516113,229.59327697753906,190.7026767730713
mig,1.0,2131.160259246826,3759.845972061157,2155.323028564453
mps-uncap,1.1,17595.240116119385,626.0619163513184,356.1062812805176
mig,1.1,8987.103462219238,9808.390378952026,9147.603988647461
mps-uncap,1.2,30854.9063205719,350.48818588256836,741.6234016418457
mig,1.2,14339.345932006836,17073.950052261353,14416.510820388794
mps-uncap,1.3,39297.07622528076,520.1578140258789,4423.539161682129
mig,1.3,21415.5216217041,22113.10887336731,20985.332250595093
