mode,load,0_inception_v3-16,1_efficientnet_b7-8,2_resnet101-8
mps-uncap,0.6,19.17967796325685,34.64846611022949,17.001080513000478
mig,0.6,14.402809143066406,50.295777320861816,21.134400367736816
mps-uncap,0.7,17.913861274719228,35.36076545715331,19.839394092559814
mig,0.7,14.358432292938229,50.5388617515564,21.133642196655277
mps-uncap,0.8,18.08032989501954,35.85612773895264,19.89971399307251
mig,0.8,14.461755752563477,50.47633171081542,21.22209548950195
mps-uncap,0.9,18.29063415527344,36.09440803527832,20.023763179779053
mig,0.9,14.422521591186523,50.53911209106445,21.11339569091797
mps-uncap,1.0,18.201436996459954,36.03794574737549,20.030009746551514
mig,1.0,14.466025829315186,50.44516086578369,21.151568889617916
mps-uncap,1.1,18.615827560424812,36.50959730148315,20.08042335510254
mig,1.1,14.15785312652588,50.48192739486695,20.882148742675785
mps-uncap,1.2,19.476635456085205,31.91928863525391,19.464540481567372
mig,1.2,13.518538475036621,50.1827597618103,20.614182949066162
mps-uncap,1.3,19.368367195129395,31.944465637207028,19.377455711364746
mig,1.3,14.272518157958984,50.6366491317749,21.123008728027344
