mode,load,0_inception_v3-16,1_efficientnet_b7-8,2_resnet101-8
mps-uncap,0.6,774.4409498311268,94.02386613488983,241.8959233135549
mig,0.6,811.8814687232684,96.39573607137663,245.89860675681655
mps-uncap,0.7,917.7266322111338,116.5754549262173,291.87442264473464
mig,0.7,918.5266297902841,112.70214323456597,284.960493431769
mps-uncap,0.8,1064.6085574473655,132.7442508101475,330.1589457506137
mig,0.8,1037.707130163174,132.00062319292084,339.2200567975335
mps-uncap,0.9,1203.688282272447,139.03559391038277,377.2141996559727
mig,0.9,1207.8471335867603,154.2543734657281,376.31475213169284
mps-uncap,1.0,1275.3713847521553,157.49199399314188,411.8947001084786
mig,1.0,1316.5925154477811,163.3473827481437,410.8065193733585
mps-uncap,1.1,1162.5816249992931,187.14741417096292,449.0744945164109
mig,1.1,1325.639310311606,163.65824844711173,412.8267324335157
mps-uncap,1.2,1063.6058384452351,191.84551746595199,503.52883270925037
mig,1.2,1338.8678894585603,164.0284164304945,413.75159632251444
mps-uncap,1.3,1009.3843683000476,210.6849133885707,502.496516523411
mig,1.3,1321.31485533438,163.56624746880428,411.86105526597277
