mode,load,0_inception_v3-16,1_efficientnet_b7-8,2_resnet101-8
mps-uncap,0.6,8.689641952514648,21.06785774230957,8.988380432128906
mig,0.6,11.312723159790039,47.80101776123047,18.79119873046875
mps-uncap,0.7,8.558273315429688,21.38543128967285,9.16910171508789
mig,0.7,11.289596557617188,47.809600830078125,18.76235008239746
mps-uncap,0.8,8.459091186523438,21.169185638427734,9.013175964355469
mig,0.8,11.30819320678711,47.82819747924805,18.744468688964844
mps-uncap,0.9,8.539676666259766,21.447181701660156,9.072065353393555
mig,0.9,11.427640914916992,47.84822463989258,18.76235008239746
mps-uncap,1.0,8.976459503173828,21.76499366760254,9.214162826538086
mig,1.0,11.450052261352539,47.96767234802246,18.90420913696289
mps-uncap,1.1,16.781091690063477,22.296428680419922,9.571075439453125
mig,1.1,11.498212814331055,48.1877326965332,18.837928771972656
mps-uncap,1.2,9.072303771972656,22.94635772705078,10.184049606323242
mig,1.2,11.557340621948242,48.03109169006348,18.92256736755371
mps-uncap,1.3,13.593196868896484,23.31376075744629,9.235143661499023
mig,1.3,11.615991592407227,48.356056213378906,18.915414810180664
