mode,load,0_inception_v3-16,1_efficientnet_b7-8,2_resnet101-8
mps-uncap,0.6,15.25568962097168,30.796432495117188,14.873886108398438
mig,0.6,13.33169937133789,49.42183494567871,20.27726173400879
mps-uncap,0.7,14.944839477539064,32.67979621887207,17.45610237121582
mig,0.7,13.37435245513916,49.50261116027832,20.296192169189453
mps-uncap,0.8,15.576601028442383,33.66577625274658,17.945051193237305
mig,0.8,13.340234756469727,49.41835403442383,20.21961212158203
mps-uncap,0.9,15.98806381225586,34.29460525512695,18.29671859741211
mig,0.9,13.24772834777832,49.61585998535156,20.113468170166016
mps-uncap,1.0,16.510725021362305,34.56544876098633,18.59879493713379
mig,1.0,13.053393363952637,49.56784248352051,20.177292823791504
mps-uncap,1.1,17.144060134887695,34.954190254211426,18.66459846496582
mig,1.1,12.813210487365723,49.42913055419922,19.94328498840332
mps-uncap,1.2,18.756461143493652,31.36210441589356,18.695688247680664
mig,1.2,12.62044906616211,49.204349517822266,19.70682144165039
mps-uncap,1.3,18.853235244750977,31.487703323364258,18.74532699584961
mig,1.3,13.177728652954102,49.715518951416016,20.118379592895508
