mode,load,0_inception_v3-16,1_efficientnet_b7-8,2_resnet101-8
mps-uncap,0.6,21.938800811767578,36.82971000671387,19.705533981323242
mig,0.6,26.113033294677734,60.442447662353516,33.3857536315918
mps-uncap,0.7,26.426315307617188,39.36648368835449,33.33568572998047
mig,0.7,26.388168334960938,60.26458740234375,30.678749084472656
mps-uncap,0.8,21.765708923339844,42.93370246887207,24.794578552246094
mig,0.8,24.97696876525879,57.3732852935791,32.64570236206055
mps-uncap,0.9,26.267051696777344,37.574052810668945,22.66693115234375
mig,0.9,27.779340744018555,61.98406219482422,34.13581848144531
mps-uncap,1.0,24.930715560913086,37.83273696899414,24.015188217163086
mig,1.0,23.345470428466797,60.45365333557129,32.300472259521484
mps-uncap,1.1,20.92719078063965,37.80841827392578,22.74489402770996
mig,1.1,24.718046188354492,60.776472091674805,31.45456314086914
mps-uncap,1.2,33.814191818237305,37.062644958496094,31.369447708129883
mig,1.2,21.948575973510742,61.261653900146484,32.34148025512695
mps-uncap,1.3,33.46705436706543,38.94233703613281,26.091575622558594
mig,1.3,23.21648597717285,61.27214431762695,29.60991859436035
