mode,load,0_inception_v3-16,1_efficientnet_b7-8,2_resnet101-8
mps-uncap,0.6,58.313655853271584,78.17629337310802,39.46823120117185
mig,0.6,76.24101400375366,254.38804626464838,106.39674663543695
mps-uncap,0.7,72.1665477752685,95.68920135498043,62.60250329971312
mig,0.7,87.52631664276122,373.0293035507209,126.48689270019534
mps-uncap,0.8,123.8091945648196,115.99737405776978,90.21003246307383
mig,0.8,110.75985431671143,634.0720558166496,201.18148803710915
mps-uncap,0.9,257.78376102447515,140.46324253082275,90.6460523605347
mig,0.9,244.73878145217893,1108.8396072387688,379.7065854072573
mps-uncap,1.0,3327.4077701568604,168.08626651763913,141.52069091796844
mig,1.0,2054.770197868347,3610.4180002212524,2015.592355728149
mps-uncap,1.1,17398.837718963623,452.70891189575184,281.0550689697263
mig,1.1,8734.388780593874,9663.087270259857,9037.119398117065
mps-uncap,1.2,30450.225529670715,224.8632812499999,645.3885936737053
mig,1.2,14151.417851448059,16726.438558101654,14245.072016716003
mps-uncap,1.3,39065.23041725159,393.4149503707884,4374.449853897095
mig,1.3,21120.03924369812,21929.92603778839,20892.918219566345
