mode,load,0_inception_v3-4,1_mobilenet_v3_small-4,2_squeezenet1_1-4
mps-uncap,0.8,4.704713821411133,2.251148223876953,0.9610652923583984
mps-uncap,0.9,4.758358001708984,2.2983551025390625,0.9958744049072266
mps-uncap,1.0,4.909038543701172,2.288818359375,0.98419189453125
mps-uncap,0.5,4.736661911010742,2.335786819458008,0.9474754333496094
mps-uncap,0.6,4.737615585327148,2.3126602172851562,0.9806156158447266
mps-uncap,0.7,4.788398742675781,2.2635459899902344,0.9710788726806641
mps-uncap,0.1,4.817008972167969,2.3469924926757812,0.9708404541015625
mps-uncap,0.2,4.783868789672852,2.3603439331054688,0.9622573852539062
mps-uncap,0.3,4.790782928466797,2.328634262084961,0.9622573852539062
mps-uncap,0.4,4.767894744873047,2.271413803100586,0.9539127349853516
