mode,load,0_inception_v3-4,1_mobilenet_v3_small-4,2_squeezenet1_1-4
mps-uncap,0.8,583.9062869495422,1296.32391734185,2449.7345063287707
mps-uncap,0.9,636.9708575303129,1452.846419802166,2699.9448640423498
mps-uncap,1.0,719.4365611488244,1583.6075225533189,3028.683785169733
mps-uncap,0.5,353.2232278426232,809.8546018271268,1536.3490848752542
mps-uncap,0.6,434.3422846308041,980.055007816252,1847.7827087737703
mps-uncap,0.7,506.1014500816738,1154.4183308299844,2159.504893831468
mps-uncap,0.1,71.30132125602037,159.97247510040236,301.9417077242363
mps-uncap,0.2,145.50134494538702,337.0771013906512,621.3154284404412
mps-uncap,0.3,212.16076000871658,480.95822882183313,918.638181774782
mps-uncap,0.4,286.5520136841087,645.0111048111859,1218.1494262833166
