mode,load,0_inception_v3-4,1_mobilenet_v3_small-4,2_squeezenet1_1-4
mps-uncap,0.8,64.99767303466797,31.979084014892578,17.231464385986328
mps-uncap,0.9,95.44038772583008,47.5921630859375,29.219865798950195
mps-uncap,1.0,533.452033996582,168.42174530029297,87.19015121459961
mps-uncap,0.5,36.14616394042969,27.27532386779785,12.360334396362305
mps-uncap,0.6,39.53123092651367,16.998767852783203,11.499404907226562
mps-uncap,0.7,45.10188102722168,31.147241592407227,10.819435119628906
mps-uncap,0.1,36.10873222351074,24.04475212097168,9.214639663696289
mps-uncap,0.2,47.80411720275879,29.126644134521484,14.008760452270508
mps-uncap,0.3,40.24648666381836,27.724504470825195,15.562057495117188
mps-uncap,0.4,35.92991828918457,22.355318069458008,13.642072677612305
