mode,load,0_inception_v3-4,1_mobilenet_v3_small-4,2_squeezenet1_1-4
mps-uncap,0.8,0.00858306884765625,0.008344650268554688,0.0069141387939453125
mps-uncap,0.9,0.0095367431640625,0.008821487426757812,0.007152557373046875
mps-uncap,1.0,0.010967254638671875,0.008821487426757812,0.00762939453125
mps-uncap,0.5,0.010251998901367188,0.008344650268554688,0.0073909759521484375
mps-uncap,0.6,0.01049041748046875,0.008344650268554688,0.007152557373046875
mps-uncap,0.7,0.00858306884765625,0.008106231689453125,0.007152557373046875
mps-uncap,0.1,0.012874603271484375,0.011444091796875,0.010251998901367188
mps-uncap,0.2,0.0095367431640625,0.00858306884765625,0.00858306884765625
mps-uncap,0.3,0.010967254638671875,0.00858306884765625,0.0095367431640625
mps-uncap,0.4,0.009775161743164062,0.009298324584960938,0.0073909759521484375
