mode,load,0_inception_v3-4,1_mobilenet_v3_small-4,2_squeezenet1_1-4
mps-uncap,0.8,5.622506141662598,2.4739980697631836,1.4157295227050781
mps-uncap,0.9,5.588054656982422,2.505779266357422,1.3353824615478516
mps-uncap,1.0,5.662202835083008,2.4917125701904297,1.3501644134521484
mps-uncap,0.5,7.966279983520508,3.8797855377197266,1.7113685607910156
mps-uncap,0.6,6.1544418334960955,2.5594234466552734,1.4085292816162116
mps-uncap,0.7,5.510139465332031,2.5204896926879883,1.36566162109375
mps-uncap,0.1,12.565851211547852,6.382226943969727,2.7042865753173833
mps-uncap,0.2,12.673521041870117,6.414031982421875,2.818536758422852
mps-uncap,0.3,10.05864143371582,5.727171897888184,2.7008056640625
mps-uncap,0.4,8.673858642578125,4.058647155761719,2.2780895233154297
