mode,load,0_inception_v3-4,1_mobilenet_v3_small-4,2_squeezenet1_1-4
mps-uncap,0.8,26.383161544799805,11.73081398010254,6.086969375610353
mps-uncap,0.9,41.355371475219734,23.14581871032715,8.011817932128906
mps-uncap,1.0,412.10808753967297,117.57907867431642,30.113029479980465
mps-uncap,0.5,14.302968978881836,7.740139961242676,4.322242736816406
mps-uncap,0.6,15.03562927246094,7.504510879516608,3.262805938720704
mps-uncap,0.7,18.160676956176758,9.519171714782718,4.06029224395752
mps-uncap,0.1,18.663763999938965,10.166406631469725,3.4946918487548833
mps-uncap,0.2,19.6286678314209,11.824274063110352,5.1893234252929705
mps-uncap,0.3,17.281055450439453,10.940432548522947,5.97989559173584
mps-uncap,0.4,15.993690490722654,9.160208702087406,4.8345327377319345
