mode,load,0_inception_v3-4,1_mobilenet_v3_small-4,2_squeezenet1_1-4
mps-uncap,0.8,8.583545684814453,3.9649009704589844,2.539396286010742
mps-uncap,0.9,7.697105407714844,3.4360885620117188,2.586841583251953
mps-uncap,1.0,7.743597030639648,3.7078857421875,2.576589584350586
mps-uncap,0.5,11.603355407714844,5.697488784790039,2.6671886444091797
mps-uncap,0.6,9.639739990234375,4.671573638916016,2.889394760131836
mps-uncap,0.7,9.244918823242188,4.1351318359375,2.534151077270508
mps-uncap,0.1,14.840841293334961,7.395029067993164,3.353595733642578
mps-uncap,0.2,13.93580436706543,10.684490203857422,3.5965442657470703
mps-uncap,0.3,13.84592056274414,7.7037811279296875,3.3066272735595703
mps-uncap,0.4,13.450860977172852,6.67881965637207,3.2231807708740234
