mode,load,0_inception_v3-4,1_mobilenet_v3_small-4,2_squeezenet1_1-4
mps-uncap,0.8,45.95273733139038,21.750450134277344,10.539684295654279
mps-uncap,0.9,70.16564369201656,36.80493354797363,16.67411327362063
mps-uncap,1.0,513.4361505508422,151.5491151809693,70.46306610107425
mps-uncap,0.5,25.609850883483922,14.137744903564457,8.051900863647461
mps-uncap,0.6,26.141772270202654,12.32590913772583,5.947508811950681
mps-uncap,0.7,30.733842849731396,18.662097454070953,7.244236469268798
mps-uncap,0.1,29.326438903808594,15.579504966735843,5.447235107421842
mps-uncap,0.2,30.440499782562224,19.515390396118196,8.237934112548826
mps-uncap,0.3,28.5545229911804,19.235374927520724,9.909725189208979
mps-uncap,0.4,25.361356735229492,15.272586345672588,8.946502208709704
