mode,load,0_inception_v3-4,1_mobilenet_v3_small-4,2_squeezenet1_1-4
mps-uncap,0.8,21.105051040649414,9.37337875366211,4.805183410644531
mps-uncap,0.9,36.02147102355958,20.712947845458984,6.781101226806641
mps-uncap,1.0,406.6025257110596,115.16771316528323,28.84330749511718
mps-uncap,0.5,8.489847183227539,4.9773454666137695,2.7751922607421866
mps-uncap,0.6,9.72270965576172,5.079245567321778,2.027368545532227
mps-uncap,0.7,12.999486923217772,7.144379615783691,2.844882011413576
mps-uncap,0.1,7.612347602844238,4.459571838378905,1.2228012084960966
mps-uncap,0.2,9.468340873718262,6.53109550476074,2.6717185974121094
mps-uncap,0.3,9.485006332397461,6.65144920349121,3.734588623046875
mps-uncap,0.4,9.201908111572267,5.725598335266113,3.059554100036621
