mode,load,0_inception_v3-4,1_mobilenet_v3_small-4,2_squeezenet1_1-4
mps-uncap,0.8,10.815620422363281,4.813909530639648,2.460002899169922
mps-uncap,0.9,16.15118980407715,8.611202239990234,2.9268264770507812
mps-uncap,1.0,108.79850387573242,56.664466857910156,10.033726692199707
mps-uncap,0.5,7.254838943481445,3.6717653274536133,1.8138885498046875
mps-uncap,0.6,7.077693939208984,3.5331249237060547,1.4996528625488281
mps-uncap,0.7,8.42905044555664,4.123210906982422,1.7883777618408203
mps-uncap,0.1,12.043237686157227,6.107807159423828,2.569437026977539
mps-uncap,0.2,11.680960655212402,6.229877471923828,2.810955047607422
mps-uncap,0.3,9.245634078979492,5.372285842895508,2.8076171875
mps-uncap,0.4,8.246898651123047,4.105567932128906,2.3016929626464844
