mode,load,0_inception_v3-4,1_mobilenet_v3_small-4,2_squeezenet1_1-4
mps-uncap,0.8,5.339264869689941,2.3627281188964844,1.2891292572021484
mps-uncap,0.9,5.3558349609375,2.409219741821289,1.222848892211914
mps-uncap,1.0,5.472660064697266,2.408266067504883,1.2379884719848633
mps-uncap,0.5,5.236148834228516,2.459287643432617,1.5730857849121094
mps-uncap,0.6,5.204916000366211,2.4204254150390625,1.1501312255859375
mps-uncap,0.7,5.222797393798828,2.384185791015625,1.201629638671875
mps-uncap,0.1,11.722683906555176,5.821704864501953,2.4564266204833984
mps-uncap,0.2,9.30321216583252,5.539655685424805,2.5398731231689453
mps-uncap,0.3,7.847785949707031,3.9016008377075195,2.3241043090820312
mps-uncap,0.4,5.961179733276367,3.265261650085449,1.6196966171264648
