mode,load,0_inception_v3-4,1_mobilenet_v3_small-4,2_squeezenet1_1-4
mps-uncap,0.8,4.757165908813477,2.289295196533203,0.9875297546386719
mps-uncap,0.9,4.866600036621094,2.3407936096191406,1.0173320770263672
mps-uncap,1.0,5.026578903198242,2.338886260986328,1.0128021240234375
mps-uncap,0.5,4.797935485839844,2.369403839111328,0.9791851043701172
mps-uncap,0.6,4.799365997314453,2.350330352783203,1.0101795196533203
mps-uncap,0.7,4.840612411499023,2.3102760314941406,0.9999275207519531
mps-uncap,0.1,4.898548126220703,2.399444580078125,0.9901523590087891
mps-uncap,0.2,4.846334457397461,2.396821975708008,1.0030269622802734
mps-uncap,0.3,4.822731018066406,2.355337142944336,0.9808540344238281
mps-uncap,0.4,4.819154739379883,2.3195743560791016,0.9899139404296875
