mode,load,0_vgg13-2,1_alexnet-2,2_resnet152-4
mps-uncap,1.0,0.0007152557373046875,0.0073909759521484375,0.000476837158203125
mig,1.0,0.0073909759521484375,0.0069141387939453125,0.000476837158203125
