mode,load,0_alexnet-32,1_efficientnet_b5-8,2_resnet50-32
mps-uncap,0.6,18.27569723129272,74.5740938186645,52.226724624633796
mig,0.6,28.21344375610321,154.50866937637323,237.0122718811035
mps-uncap,0.7,23.010177612304684,98.67547988891627,51.95949077606197
mig,0.7,38.59840393066406,206.40785932540902,412.98939704895
mps-uncap,0.8,30.21226882934571,124.40582513809201,60.7621455192566
mig,0.8,70.9285831451416,271.27883911132807,358.21962833404535
mps-uncap,0.9,36.749839782714915,228.97686958312988,65.84609031677246
mig,0.9,91.2082433700562,639.7560405731198,870.6077766418456
mps-uncap,1.0,166.37125015258735,361.37719154357904,89.78139877319336
mig,1.0,673.8112545013428,1448.8960933685303,2358.712441921234
mps-uncap,1.1,245.07713556289667,5493.719298839569,108.1327772140501
mig,1.1,7104.38000202179,5440.872218608856,4552.322204113007
mps-uncap,1.2,1965.9404993057253,17681.614787578583,117.32944488525403
mig,1.2,13432.424068450924,15661.56455039978,14601.625084877014
mps-uncap,1.3,13406.02287530899,24607.10639476776,134.3264031410213
mig,1.3,19975.76324224472,19673.579421043396,20506.300892829895
