mode,load,0_alexnet-32,1_efficientnet_b5-8,2_resnet50-32
mps-uncap,0.6,3947.4438790324066,175.1320917959548,418.3216999542727
mig,0.6,3846.606821635541,172.2724344653644,408.5065081157097
mps-uncap,0.7,4499.69803666997,206.99147449603495,509.0169717941974
mig,0.7,4582.860836250328,206.23048020560736,507.1933642173688
mps-uncap,0.8,5203.163687116808,226.56580046326724,574.6302789750091
mig,0.8,5240.798407078291,236.18908916430013,548.6952370423265
mps-uncap,0.9,5782.629690809497,263.80220854707443,616.8489455919844
mig,0.9,5912.21611215782,261.49229787306166,649.1695941684977
mps-uncap,1.0,6553.64746911718,292.423590154831,691.5957745956403
mig,1.0,6520.213741689354,292.47116881041944,692.7430383731111
mps-uncap,1.1,7320.100314603599,301.413068967028,782.8031285402542
mig,1.1,6546.184496905491,296.328927216443,698.4218775385033
mps-uncap,1.2,7462.107666247634,285.32790286243727,854.6121010310003
mig,1.2,6663.755889264391,296.17528585608403,709.2950898353347
mps-uncap,1.3,7132.907622937081,283.36062027883787,920.3598298692874
mig,1.3,6531.7952768126515,296.28931777051304,705.8231299363816
