mode,load,0_alexnet-32,1_efficientnet_b5-8,2_resnet50-32
mps-uncap,0.6,5.577898025512697,26.819610595703125,21.336889266967777
mig,0.6,5.928945541381844,27.643656730651855,46.482181549072266
mps-uncap,0.7,5.850553512573243,28.160691261291515,21.633625030517578
mig,0.7,5.600309371948257,27.659893035888672,46.50430679321289
mps-uncap,0.8,5.993247032165528,31.133127212524414,22.49300479888916
mig,0.8,5.46104907989502,27.577781677246094,46.204471588134766
mps-uncap,0.9,5.774879455566407,34.381866455078125,23.002099990844727
mig,0.9,5.404949188232422,27.43861675262451,46.12627029418945
mps-uncap,1.0,6.185817718505862,36.82851791381836,23.172664642333984
mig,1.0,5.430936813354492,27.439069747924805,46.1334228515625
mps-uncap,1.1,6.055021286010742,42.76390075683594,23.745298385620117
mig,1.1,5.431652069091797,27.408671379089355,46.13640308380127
mps-uncap,1.2,6.425738334655762,42.36783981323242,22.95398712158203
mig,1.2,5.377769470214844,27.3587703704834,46.02980613708496
mps-uncap,1.3,6.73186779022217,40.94955921173096,23.42090606689453
mig,1.3,5.434107780456543,27.45969295501709,46.23885154724121
